poll_sample_id,source_document_id,sample_locator,notes
forum_city_2014_09_22_n1164,forum_2014_sep29_release,"PDF p. 3, September 22 row of Mayoral Horserace - Trending",Later first-party trend table preserving the September 22 current-field values; its original release omits the full current-field table.
forum_city_2018_10_03_05_n987,forum_2018_oct09_social_housing,entire document,First-party companion release explicitly reporting the same n=987 October 3-5 respondent sample; it contains no ballot reading.
forum_city_2014_02_24_n1310,forum_2014_feb25_release,entire document,First-party release for this respondent sample.
forum_city_2013_08_29_n848,forum_2013_aug29_release,entire document,First-party release for this respondent sample.
forum_city_2014_01_22_n1063,forum_2014_jan22_release,entire document,First-party release for this respondent sample.
forum_city_2014_03_27_n634,forum_2014_mar27_release,entire document,First-party release for this respondent sample.
forum_city_2013_07_29_n1368,forum_2013_jul30_release,entire document,First-party release for this respondent sample.
forum_city_2013_11_04_n1393,forum_2013_nov04_release,entire document,First-party release for this respondent sample.
forum_city_2013_09_22_n1082,forum_2013_sep23_release,entire document,First-party release for this respondent sample.
forum_city_2013_10_31_n1032,forum_2013_oct31_release,entire document,First-party release for this respondent sample.
forum_city_2014_03_13_n1271,forum_2014_mar13_release,entire document,First-party release for this respondent sample.
forum_city_2013_10_29_n1093,forum_2013_oct30_release,2013-10-29 wave tables,First-party release; this document reports multiple fieldwork waves.
forum_city_2013_10_30_n1041,forum_2013_oct30_release,2013-10-30 wave tables,First-party release; this document reports multiple fieldwork waves.
forum_city_2013_11_06_n1157,forum_2013_nov06_release,entire document,First-party release for this respondent sample.
forum_city_2013_01_25_n1099,forum_2013_jan25_release,entire document,First-party release for this respondent sample.
mainstreet_city_2014_09_12_n1054,mainstreet_2014_sep13_report,entire document,First-party release for this respondent sample.
mainstreet_city_2014_09_21_n2469,mainstreet_2014_sep21_report,entire document,First-party release for this respondent sample.
mainstreet_city_2014_09_28_n2409,mainstreet_2014_sep28_report,entire document,First-party release for this respondent sample.
mainstreet_city_2014_10_05_n2379,mainstreet_2014_oct05_report,entire document,First-party release for this respondent sample.
mainstreet_city_2014_10_23_n3569,mainstreet_2014_oct23_report,entire document,First-party release for this respondent sample.
mainstreet_city_2018_09_16_n802,mainstreet_2018_sep16_report,entire document,First-party release for this respondent sample.
mainstreet_city_2018_09_25_n966,mainstreet_2018_sep25_report,entire document,First-party release for this respondent sample.
mainstreet_city_2014_10_16_n2265,mainstreet_2014_oct17_report,entire document,First-party release for this respondent sample.
nanos_city_2014_08_31_n1000,nanos_2014_aug31_report,entire document,First-party release for this respondent sample.
forum_city_2014_09_22_n1164,forum_2014_sep22_horserace,entire document,First-party release for this respondent sample.
forum_city_2014_02_06_n769,forum_2014_feb09_sun,entire document,First-party release for this respondent sample.
forum_city_2013_11_24_n1049,forum_2013_nov24_sun,entire document,First-party release for this respondent sample.
forum_city_2013_03_19_n1045,forum_2013_mar21_star,entire document,First-party release for this respondent sample.
forum_city_2013_05_10_n974,forum_2013_may13_star,entire document,First-party release for this respondent sample.
mainstreet_city_2018_09_05_n1178,mainstreet_2018_sep06_report,entire document,First-party release for this respondent sample.
mainstreet_city_2023_04_03_n1306,mainstreet_2023_cp24_a,entire document,First-party release for this respondent sample.
mainstreet_city_2023_06_15_n899,mainstreet_2023_cp24_c,entire document,First-party release for this respondent sample.
mainstreet_city_2023_06_22_n1481,mainstreet_2023_cp24_b,entire document,First-party release for this respondent sample.
mainstreet_city_2023_05_03_n1056,mainstreet_2023_may03_report,entire document,First-party release for this respondent sample.
mainstreet_city_2023_05_17_n1125,mainstreet_2023_may19_report,entire document,First-party release for this respondent sample.
mainstreet_city_2023_06_19_n552,mainstreet_2023_jun20_report,entire document,First-party release for this respondent sample.
ekos_city_2010_10_13_21_n433,ekos_2010-10-22_release,page 2 Top Line Results chart; page 2 BASE note (n=433),First-party EKOS release establishing the Oct 13-21 sample and vote intention.
ekos_city_2010_10_20_22_n240,ekos_2010-10-24_release,page 2 Top Line Results chart; page 2 BASE note (n=240),First-party EKOS addendum establishing the Oct 20-22 sample and vote intention.
pollara_city_2010_09_08_12_n700,pollara_2010-09-12_star_blog,Toronto Star 'The Goods' blog post body,News blog reporting the campaign-internal Pollara poll's all-respondent breakdown.
angusreid_city_2010_09_14_15_n502,angusreid_2010-09-15_release,release body (decided-voters-and-leaners paragraph),First-party Angus Reid release establishing the sample and decided-voter vote intention.
nanos_city_2010_09_14_16_n1021,nanos_2010-09-16_globe,Globe and Mail article body,Commissioning outlet reporting the Nanos decided-voter breakdown.
ipsos_city_2010_10_08_10_n400,ipsos_2010-10-10_release,release body (topline preference),First-party Ipsos release establishing the sample and topline vote intention.
angusreid_city_2010_10_14_15_n1001,angusreid_2010-10-15_release,release body (decided-voters-and-leaners paragraph),First-party Angus Reid release establishing the sample and decided-voter vote intention.
nanos_city_2010_10_14_16_n1000,nanos_2010-10-16_globe,Globe and Mail article body,Commissioning outlet reporting the Nanos decided-voter breakdown.
ipsos_city_2010_10_15_17_n500,ipsos_2010-10-17_release,release body (likely turnout voters),First-party Ipsos release establishing the sample and likely-voter vote intention.
sc_city_2006_09_26_30_n500,sc_2006-09-30_ctv,CTV News article body,Commissioning outlet reporting the Strategic Counsel decided-voter split.
decima_city_2006_10_20_26_n400,decima_2006-10-26_star,Toronto Star article body,Commissioning outlet reporting the Decima committed-voter shares.
leger_city_2006_10_27_31,leger_2006-10-31_sun,Toronto Sun article lede/subheadline,Toronto Sun lede reporting the Léger Miller/Pitfield shares (body paywalled).
ipsos_city_2006_11_02_05_n802,ipsos_2006-11-05_natpost,National Post / canada.com article body,Commissioning outlet reporting the Ipsos decided-voter split.
environics_city_2003_10_17_20_n700,environics_2003-10-20_globe,Globe and Mail article body (decided-voter paragraph),Globe and Mail reporting the Environics decided-voter breakdown.
compas_city_2003_10_27,compas_2003-10-27_globe,Globe and Mail article body (poll paragraph),Globe and Mail reporting the COMPAS decided-voter breakdown.
ipsos_city_2003_11_02,ipsos_2003-11-02_globe_ut,reproduced Globe article text in the forum post,Forum reproduction of the Globe article reporting the Ipsos-Reid decided-voter split.
