poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
nanos_sep_all,nanos_city_2014_09_16_20_n1000,nanos_2014-09_full,physical pages 4 and 17,mayoral,toronto-mayor-2014,reported,2,1,reported,"If the election for mayor of Toronto were held today, please tell me your first choice and your second choice from the following list of three candidates: [First ranked responses]",First-ranked response including Unsure,Very likely Toronto municipal voters,likely_voters,,all_respondents,First-ranked response including Unsure,not_reported,,not_reported,,reported,1000,unknown,complete,percent,1,Precise stat-sheet percentages are retained instead of the rounded summary chart. The summary says three candidates while the draft stat-sheet wording says five even though it publishes only Chow Doug Ford Tory and Unsure; tested-choice-set completeness therefore remains unknown.,general_vote_intention
nanos_sep_decided,nanos_city_2014_09_16_20_n1000,nanos_2014-09_full,physical pages 5 and 19,mayoral,toronto-mayor-2014,reported,2,2,reported,"If the election for mayor of Toronto were held today, please tell me your first choice and your second choice from the following list of three candidates: [First ranked responses]",Ballot (decided voters only),Very likely Toronto municipal voters,likely_voters,,decided_respondents,Ballot (decided voters only),not_reported,,not_reported,,reported,925,unknown,complete,percent,1,Dependent decided-voter transformation of the first-ranked reading. Precise stat-sheet values are retained and sum to 100.1% because of source rounding. The source's three-versus-five wording inconsistency leaves tested-choice-set completeness unknown.,general_vote_intention
viewpoints_may2_raw,viewpoints_city_2023_04_29_05_02_n400,viewpoints_2023-05-02_full,"page 1, Raw vote table",mayoral,toronto-mayor-2023,not_reported,,2,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Raw vote,Torontonians aged 18 and over who said they intended to vote in the mayoral by-election,custom,respondents who said they intended to vote in the mayoral by-election,all_respondents,Raw vote,not_reported,,not_reported,,reported,400,unknown,complete,percent,1,The PDF publishes a generic Base of 400 rather than identifying it as weighted or unweighted. Values sum to 100.2% because of source rounding and are not rescaled.,general_vote_intention
viewpoints_may2_decided,viewpoints_city_2023_04_29_05_02_n400,viewpoints_2023-05-02_full,"page 1, Decided vote table",mayoral,toronto-mayor-2023,not_reported,,3,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Decided vote,Torontonians aged 18 and over who said they intended to vote in the mayoral by-election,custom,respondents who said they intended to vote in the mayoral by-election,decided_respondents,Decided vote,not_reported,,not_reported,,reported,264,unknown,complete,percent,0,Dependent decided-vote transformation of the raw reading. The PDF publishes a generic Base of 264 rather than identifying it as weighted or unweighted. Values sum to 101% because of source rounding and are not rescaled.,general_vote_intention
viewpoints_jun19_raw,viewpoints_city_2023_06_15_19_n1007,viewpoints_2023-06-15_19_full,"page 1, June 19 Raw vote column",mayoral,toronto-mayor-2023,not_reported,,2,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Raw vote,Toronto mayoral by-election respondents,not_reported,,all_respondents,Raw vote,not_reported,,not_reported,,reported,1007,unknown,complete,percent,1,The PDF publishes a generic Base of 1007 rather than identifying it as weighted or unweighted. Values sum to 100.1% because of source rounding and are not rescaled. Adjacent June 2 and May 2 columns are separate recruited samples.,general_vote_intention
viewpoints_jun19_leaning,viewpoints_city_2023_06_15_19_n1007,viewpoints_2023-06-15_19_full,"page 1, June 19 Decided + leaning vote column",mayoral,toronto-mayor-2023,not_reported,,4,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Decided + leaning vote,Toronto mayoral by-election respondents,not_reported,,decided_respondents,Decided + leaning vote,not_reported,,not_reported,,reported,881,unknown,complete,percent,0,Dependent source-labelled transformation of the raw vote and separate leaning follow-up. The conditional leaning table has Base 181; it is not duplicated as a standalone forecast reading in this proportional pilot conversion. The final values sum to 101% because of source rounding.,general_vote_intention
dart_2018_head_to_head,dart_city_2018_10_12_15_n669,dart_2018_10_12_15_factum,page 1 release prose,mayoral,toronto-mayor-2018,not_reported,,,not_reported,,head-to-head match-up: John Tory versus Jennifer Keesmaat,Toronto adults,not_reported,,not_reported,,not_reported,,not_reported,,not_reported,,unknown,partial,percent,0,The exact question response options denominator and reading base are not published. The factum calls respondents potential voters and explicitly warns that the head-to-head should not be portrayed as a real voting-day outcome. Only Tory 62% and Keesmaat 27% are reported; the 11-point remainder is not synthesized.,general_vote_intention
probit_2018_all,probit_city_2018_08_20_09_05_n1635,probit_2018_08_20_09_05_all_chart,entire image,mayoral,toronto-mayor-2018,not_reported,,,not_reported,,published chart including undecided,Torontonians,not_reported,,not_reported,,not_reported,,not_reported,,reported,1635,unknown,complete,percent,0,Chart title is presentation text rather than evidenced questionnaire wording. The complete chart includes an Undecided bar but does not name the denominator. Sample 1635 is a generic chart label and is therefore stored as reported_base rather than a typed reading base.,general_vote_intention
probit_2018_undecideds_removed,probit_city_2018_08_20_09_05_n1635,probit_2018_08_20_09_05_decided_chart,entire image,mayoral,toronto-mayor-2018,not_reported,,,not_reported,,published chart with undecideds removed,Torontonians,not_reported,,custom,undecideds removed,not_reported,,not_reported,,reported,1152,unknown,complete,percent,0,This is a dependent transformation of the same parent sample. The source says undecideds removed rather than decided voters. Sample 1152 is a generic chart label and is therefore stored as reported_base rather than a typed reading base.,general_vote_intention
viewpoints_2023_06_02_raw,viewpoints_city_2023_06_01_02_n1004,viewpoints_2023_06_01_02_marginals,"page 1, June 2 Raw vote column",mayoral,toronto-mayor-2023,not_reported,,1,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Raw vote,Torontonians aged 18 and over who said they intend to vote in the upcoming by-election,custom,respondents who said they intend to vote in the upcoming by-election,all_respondents,Raw vote,not_reported,,not_reported,,reported,1004,unknown,complete,percent,1,The PDF publishes a generic Base of 1004 rather than identifying it as weighted or unweighted. Values sum to 99.9% because of source rounding and are not rescaled. The adjacent May 2 column is a separate recruited sample.,general_vote_intention
viewpoints_2023_06_02_decided,viewpoints_city_2023_06_01_02_n1004,viewpoints_2023_06_01_02_marginals,"page 1, June 2 Decided vote column",mayoral,toronto-mayor-2023,not_reported,,2,reported,Who do you plan to vote for as Toronto’s Mayor in this by-election?,Decided vote,Torontonians aged 18 and over who said they intend to vote in the upcoming by-election,custom,respondents who said they intend to vote in the upcoming by-election,decided_respondents,Decided vote,not_reported,,not_reported,,reported,780,unknown,complete,percent,0,Dependent decided-vote transformation of the raw reading. The PDF publishes a generic Base of 780 rather than identifying it as weighted or unweighted. The adjacent May 2 column is a separate recruited sample.,general_vote_intention
ipsos_2023_raw,ipsos_city_2023_06_09_13_n1001,ipsos_2023_06_09_13_tables,"physical page 3, printed page 5 of 33, total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the by-election for a new Mayor in the City of Toronto were held today, who would you vote for?",raw first choice,Eligible voters in Toronto aged 18+,eligible_voters,,all_respondents,Base: Total Answering,reported,1001,not_reported,,reported,1001,unknown,complete,percent,1,Table separately labels Unweighted Base 1001 and Base: Total Answering 1001; the latter is generic rather than explicitly weighted. Shares sum to 100.1% because of source rounding.,general_vote_intention
ipsos_2023_conditional_lean,ipsos_city_2023_06_09_13_n1001,ipsos_2023_06_09_13_tables,"physical page 4, printed page 6 of 33, total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"Which candidate, if any, would you lean towards voting for?",conditional lean among initial I don't know respondents,Eligible voters in Toronto aged 18+,eligible_voters,,custom,Base: Not sure who would vote for,reported,198,not_reported,,reported,206,unknown,complete,percent,1,This is a dependent follow-up restricted to initial I don't know respondents. The table labels Unweighted Base 198 and generic Base: Not sure who would vote for 206. Shares sum to 99.9% because of source rounding.,conditional_lean_followup
ipsos_2023_total,ipsos_city_2023_06_09_13_n1001,ipsos_2023_06_09_13_tables,"physical page 5, printed page 7 of 33, total column",mayoral,toronto-mayor-2023,not_reported,,3,not_reported,,first choice plus follow-up leaning responses: source-labelled Who would you vote for - Total,Eligible voters in Toronto aged 18+,eligible_voters,,all_respondents,Base: Total Answering,reported,1001,not_reported,,reported,1001,unknown,complete,percent,1,Pollster-derived dependent reading combining the first-choice and conditional lean questions. No reconstructed question text is asserted. Table separately labels Unweighted Base 1001 and generic Base: Total Answering 1001. I don't know remains explicit; shares sum to 99.9% because of rounding.,general_vote_intention
ipsos_2023_total_repercentaged,ipsos_city_2023_06_09_13_n1001,ipsos_2023_06_09_13_tables,"physical page 6, printed page 8 of 33, total column",mayoral,toronto-mayor-2023,not_reported,,4,not_reported,,source-repercentaged total after remaining I don't know excluded,Eligible voters in Toronto aged 18+,eligible_voters,,valid_responses,Base: Total Valid Response,not_reported,,not_reported,,reported,861,unknown,complete,percent,1,Pollster-derived dependent reading labelled Who would you vote for - Total (Re-percentaged). The valid-response base is reported generically as 861; the page's full-sample Unweighted Base 1001 is not copied into this restricted reading. The detailed values supersede rounded factum toplines.,general_vote_intention
forum_2022_oct08_decided_leaning,forum_city_2022_10_07_08_n1017,forum_2022_oct11_release,"PDF p. 2, [Decided / Leaning] Total column",mayoral,toronto-mayor-2022,not_reported,,1,reported,Who will you vote for in the mayoral election on October 24th?,published candidate field,Eligible voters across Toronto,eligible_voters,,custom,[Decided / Leaning],not_reported,,not_reported,,reported,840,complete,complete,percent,0,Forum publishes the complete offered response set: four named candidates plus Other. The source percentages are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_feb13_decided_leaning,forum_city_2023_02_13_n1042,forum_2023_feb14_release,"PDF p. 3, Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was a by-election for mayor, who would you vote for?",published potential field,Toronto residents age 18+ (release prose; methodology inconsistently says Ontario residents),none,,custom,Decided / leaning voters,not_reported,,not_reported,,reported,707,complete,complete,percent,0,Source-published shares sum to 101% because of rounding. The source's internal geography conflict is preserved at sample and population level. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_mar23_all,forum_city_2023_03_22_23_n1009,forum_2023_mar24_release,"PDF p. 2, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"Toronto's next election for mayor will be on June 26. Candidates can register starting April 3. If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published potential field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],not_reported,,not_reported,,reported,1009,complete,complete,percent,0,Source percentages are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_mar23_decided_leaning,forum_city_2023_03_22_23_n1009,forum_2023_mar24_release,"PDF p. 4, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published potential field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,772,complete,partial,percent,0,The source's decided/leaning table publishes seven named candidates but no residual row; response coverage is partial even though the printed values sum to 100%. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_apr26_all,forum_city_2023_04_25_26_n1022,forum_2023_apr27_release,"PDF p. 2, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],not_reported,,not_reported,,reported,1022,complete,complete,percent,0,Source percentages sum to 101% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_apr26_decided_leaning,forum_city_2023_04_25_26_n1022,forum_2023_apr27_release,"PDF p. 4, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,856,complete,complete,percent,0,Dependent reading from the same sample as the all-respondent table; source percentages are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_apr26_tory_decided_leaning,forum_city_2023_04_25_26_n1022,forum_2023_apr27_tory_companion,"PDF p. 3, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time? + If John Tory were running for mayor of Toronto in the upcoming election, would you vote for him?",hypothetical field if John Tory ran,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,919,complete,complete,percent,0,"Dependent hypothetical-scenario reading from the same 1,022 respondents as the current-field release. The separate yes/no Tory-willingness table is outside ballot-reading scope. Published shares sum to 99% because of rounding. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.",general_vote_intention
forum_2023_may07_decided_leaning,forum_city_2023_05_06_07_n2000,forum_2023_may08_release,"PDF p. 2, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,1708,complete,complete,percent,0,Current-field reading from the same respondent sample as the companion hypothetical-Tory reading. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may07_tory_decided_leaning,forum_city_2023_05_06_07_n2000,forum_2023_may08_tory_companion,"PDF p. 2, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time? + If John Tory were running for mayor of Toronto in the upcoming election, would you vote for him?",hypothetical field if John Tory ran,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,1827,complete,complete,percent,0,"Dependent hypothetical-scenario reading from the same 2,000 respondents as the current-field release. Published shares sum to 99% because of rounding. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.",general_vote_intention
forum_2023_may13_all,forum_city_2023_05_13_n1029,forum_2023_may15_release,"PDF p. 2, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],not_reported,,not_reported,,reported,1029,complete,complete,percent,0,Published shares sum to 99% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may13_decided_leaning,forum_city_2023_05_13_n1029,forum_2023_may15_release,"PDF p. 4, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,924,complete,complete,percent,0,Dependent reading from the all-respondent table. Published shares sum to 101% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may19_all,forum_city_2023_05_19_n1000,forum_2023_may21_release,"PDF p. 2, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],not_reported,,not_reported,,reported,1000,complete,complete,percent,0,Published shares sum to 101% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may19_decided_leaning,forum_city_2023_05_19_n1000,forum_2023_may21_release,"PDF p. 4, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,889,complete,complete,percent,0,Dependent reading from the all-respondent table; source percentages are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may26_all,forum_city_2023_05_26_n1007,forum_2023_may28_release,"PDF p. 2, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],not_reported,,not_reported,,reported,1007,complete,complete,percent,0,The source-published column totals 98% because of integer rounding; no residual or normalization is invented. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_may26_decided_leaning,forum_city_2023_05_26_n1007,forum_2023_may28_release,"PDF p. 5, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for? + Even though you may not have made up your mind, which candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],not_reported,,not_reported,,reported,874,complete,partial,percent,0,The source publishes eight response rows in the decided/leaning table. Five named candidates shown in the all-respondent table are known to have been offered but are not individually published here; their values remain unknown. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_jun02_all,forum_city_2023_06_02_n1032,forum_2023_jun04_release,"PDF p. 3, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],reported,1032,reported,1032,not_reported,,complete,complete,percent,0,Source explicitly identifies TOTAL (u/w) and TOTAL (w/t). Published shares sum to 102% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_jun02_decided_leaning,forum_city_2023_06_02_n1032,forum_2023_jun04_release,"PDF p. 6, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which potential candidate would you vote for? + Even though you may not have made up your mind, which potential candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],reported,936,reported,923,not_reported,,complete,partial,percent,0,Five named candidates shown in the all-respondent table are known to have been offered but are not individually published in this decided/leaning table. Published shares sum to 101% because of rounding. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_jun09_all,forum_city_2023_06_09_n1047,forum_2023_jun11_release,"PDF p. 3, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],reported,1047,reported,1047,not_reported,,complete,complete,percent,0,Source explicitly identifies TOTAL (u/w) and TOTAL (w/t). Published shares sum to 99% because of rounding and are preserved without normalization. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
forum_2023_jun09_decided_leaning,forum_city_2023_06_09_n1047,forum_2023_jun11_release,"PDF p. 6, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for? + Even though you may not have made up your mind, which candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],reported,976,reported,965,not_reported,,complete,partial,percent,0,Five named candidates shown in the all-respondent table are known to have been offered but are not individually published here. The source-published Some other candidate value is 10%; published shares sum to 101% because of rounding. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
